"","rowID","season","matchID","actualTeamBatFirstWin","predO0TeamBatFirstWinMod","predO20TeamBatFirstWinMod","predO26TeamBatFirstWinMod","predO30TeamBatFirstWinMod","predO35TeamBatFirstWinMod","predO26TeamBatFirstWinEOI","predO30TeamBatFirstWinEOI","predO35TeamBatFirstWinEOI","inn1EOIRuns","predO6EOIRuns","predO10EOIRuns","predO15EOIRuns","inn2EOIRuns","predO26EOIRuns","predO30EOIRuns","predO35EOIRuns","errO35Run","errO35Per","errO30Run","errO30Per","errO26Run","errO26Per","errO15Run","errO15Per","errO10Run","errO10Per","errO6Run","errO6Per","correctPredWinEOIO35","correctPredWinEOIO30","correctPredWinEOIO26","correctPredWinModO35","correctPredWinModO30","correctPredWinModO26","correctPredWinModO20","correctPredWinModO0"
"61",61,2016,980922,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,143,153,142,125,147,134,140,128,-19,-12.7,-7,-5,-13,-8.6,-18,-12.5,-1,-0.6,10,7.3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"62",62,2016,980924,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,152,147,164,158,153,151,143,155,2,1.6,-10,-6.3,-2,-1.2,6,3.8,12,7.9,-5,-3.5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"63",63,2016,980926,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,191,190,198,200,192,159,182,190,-2,-1.3,-10,-5.3,-33,-17.3,9,4.8,7,3.5,-1,-0.8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"64",64,2016,980928,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,142,161,141,160,145,126,143,141,-4,-2.6,-2,-1.7,-19,-13.3,18,12.9,-1,-0.6,19,13.5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"65",65,2016,980930,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,138,168,142,132,141,159,162,148,7,4.7,21,14.6,18,13.1,-6,-4.4,4,2.9,30,21.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"66",66,2016,980932,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,170,177,190,157,171,159,168,163,-8,-4.6,-3,-1.8,-12,-6.8,-13,-7.4,20,11.5,7,3.8,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"67",67,2016,980934,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,135,152,157,148,137,153,153,166,29,21.1,16,11.5,16,12,13,9.6,22,16.1,17,12.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"68",68,2016,980936,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,185,173,179,191,172,154,167,165,-7,-3.9,-5,-2.7,-18,-10.7,6,3,-6,-3.1,-12,-6.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"69",69,2016,980938,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,164,167,146,163,154,159,160,159,5,3.5,6,3.6,5,3.3,-1,-0.8,-18,-10.7,3,1.9,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70",70,2016,980940,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,143,157,138,140,146,149,153,141,-5,-3.7,7,4.5,3,2,-3,-2.1,-5,-3.6,14,9.7,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"71",71,2016,980942,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,180,175,170,174,182,177,178,182,0,0.2,-4,-2.5,-5,-2.8,-6,-3.5,-10,-5.8,-5,-2.8,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"72",72,2016,980944,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,160,131,155,147,162,155,136,156,-6,-4,-26,-15.9,-7,-4.5,-13,-8.4,-5,-2.9,-29,-18.1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"73",73,2016,980946,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,189,165,174,197,164,153,165,165,1,0.4,1,0.7,-11,-6.5,8,4.2,-15,-7.9,-24,-12.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"74",74,2016,980950,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,172,185,214,172,171,136,130,155,-16,-9.3,-41,-23.9,-35,-20.4,0,0.2,42,24.3,13,7.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"75",75,2016,980952,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,174,194,171,177,178,174,162,162,-16,-8.8,-16,-8.7,-4,-2,3,1.5,-3,-1.7,20,11.3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
